Game Name,Before NF,After NF,Difference,% Change,New Wishlist
Alien Hominid Invasion,9972,10492,520,5.21,4992.0
Aztecs The Last Sun,3736,4604,868,23.23,8333.0
Back to the Dawn,5338,7345,2007,37.6,19267.0
Bellwright,309,5139,4830,1563.11,46368.0
Coreborn Nations of the Ultracore,5255,6516,1261,24.0,12106.0
Davigo,9270,9595,325,3.51,3120.0
En Garde!,2452,5873,3421,139.52,32842.0
Eternights,6085,9070,2985,49.06,28656.0
Fortune's Run,3985,4814,829,20.8,7958.0
Gord,27181,30068,2887,10.62,27715.0
Grand Emprise Time Travel Survival,8413,10909,2496,29.67,23962.0
Greedland,4233,4901,668,15.78,6413.0
Hammerwatch II,4593,7453,2860,62.27,27456.0
Heretic's Fork,1799,2291,492,27.35,4723.0
House Flipper 2,19880,22295,2415,12.15,23184.0
Jumplight Odyssey,8091,10748,2657,32.84,25507.0
Kingdom Eighties,7330,9712,2382,32.5,22867.0
Land Above Sea Below,476,1622,1146,240.76,11002.0
Laysara Summit Kingdom,19226,20220,994,5.17,9542.0
Let's School,5505,8832,3327,60.44,31939.0
Lies of P,44281,48130,3849,8.69,36950.0
"Little Kitty, Big City",13220,15983,2763,20.9,26525.0
Mind Over Magic,6974,8341,1367,19.6,13123.0
Moonstone Island,13451,14926,1475,10.97,14160.0
Moving Out 2,1711,2032,321,18.76,3082.0
MythForce,285,1986,1701,596.84,16330.0
Naheulbeuk's Dungeon Master,1479,3265,1786,120.76,17146.0
New Cycle,8952,10577,1625,18.15,15600.0
Norland Story Generating Strategy,12807,16862,4055,31.66,38928.0
One Lonely Outpost,24709,26082,1373,5.56,13181.0
Paleo Pines,7958,9763,1805,22.68,17328.0
Primitive Society Simulator,1100,2099,999,90.82,9590.0
Reverse Collapse Code Name Bakery,13569,15500,1931,14.23,18538.0
SYNCED,22761,23850,1089,4.78,10454.0
Sea of Stars,35914,39514,3600,10.02,34560.0
Shadow Gambit The Cursed Crew,11349,13776,2427,21.39,23299.0
Starsiege Deadzone,873,1630,757,86.71,7267.0
Station to Station,4529,6349,1820,40.19,17472.0
SteamWorld Build,16703,17778,1075,6.44,10320.0
Sticky Business,1528,1915,387,25.33,3715.0
The Invincible,32511,36129,3618,11.13,34733.0
The Matchless Kungfu,4754,7573,2819,59.3,27062.0
Three Kingdoms Zhao Yun,8191,9397,1206,14.72,11578.0
Thronefall,1053,3883,2830,268.76,27168.0
Venba,2974,3389,415,13.95,3984.0
Viewfinder,11745,16444,4699,40.01,45110.0
Warhaven,28424,33457,5033,17.71,48317.0
Waven,3023,4107,1084,35.86,10406.0
Wildmender,5029,5666,637,12.67,6115.0
Wizard with a Gun,23509,26385,2876,12.23,27610.0
